,02 성별,06_나이_반올림,001_오른쪽어깨경사각,002_왼쪽어깨경사각,003_키,005_목뒤높이,017_샅높이,031_몸무게,037_목둘레,038_목밑둘레,039_가슴둘레,040_젖가슴둘레,042_허리둘레,043_배꼽수준허리둘레,044_배둘레,045_엉덩이둘레,052_총길이,054_어깨사이길이,055_어깨가쪽사이길이,063_위팔길이,064_팔길이,065_팔안쪽길이,069_다리가쪽길이,111_머리둘레,121_넙다리둘레,122_넙다리중간둘레,123_무릎둘레,125_장딴지둘레,130_위팔둘레,131_팔꿈치둘레
450,남,44,21.0,17.0,"1,713","1,454",790.0,78.2,407.0,458.0,"1,018",972,910,913,915,"1,005","1,479",443.0,414.0,330.0,584.0,430.0,"1,036",572.0,601.0,553.0,393.0,395.0,329.0,286.0
452,남,23,24.0,24.0,"1,714","1,450",783.0,70.3,364.0,418.0,954,894,835,865,870,977,"1,470",460.0,430.0,344.0,601.0,487.0,"1,034",587.0,593.0,550.0,379.0,376.0,306.0,264.0
453,남,23,23.0,23.0,"1,731","1,477",737.0,74.7,380.0,439.0,950,925,845,880,885,967,"1,510",466.0,434.0,360.0,630.0,504.0,"1,067",583.0,583.0,532.0,386.0,407.0,305.0,292.0
454,남,23,25.0,23.0,"1,730","1,468",770.0,95.0,422.0,461.0,"1,080","1,075","1,028","1,022","1,002","1,050","1,499",473.0,450.0,352.0,612.0,479.0,"1,038",609.0,667.0,613.0,419.0,435.0,361.0,308.0
462,남,24,23.0,20.0,"1,685","1,442",793.0,70.0,374.0,437.0,930,923,868,887,884,960,"1,469",438.0,409.0,345.0,597.0,463.0,"1,022",558.0,596.0,531.0,374.0,372.0,303.0,273.0
463,남,46,23.0,20.0,"1,722","1,468",793.0,62.9,370.0,439.0,939,897,820,819,820,890,"1,492",448.0,414.0,345.0,600.0,488.0,"1,033",553.0,509.0,473.0,355.0,337.0,282.0,273.0
470,남,33,25.0,20.0,"1,642","1,398",731.0,63.4,354.0,426.0,920,862,805,816,828,930,"1,419",424.0,395.0,316.0,555.0,440.0,993,536.0,570.0,516.0,358.0,368.0,288.0,248.0
474,남,29,25.0,20.0,"1,714","1,450",774.0,58.6,345.0,423.0,860,830,743,742,750,892,"1,475",447.0,425.0,335.0,588.0,502.0,"1,038",558.0,521.0,497.0,353.0,355.0,263.0,234.0
475,남,48,24.0,19.0,"1,667","1,436",780.0,67.5,378.0,437.0,935,915,835,842,845,958,"1,467",435.0,403.0,340.0,584.0,467.0,"1,035",581.0,562.0,510.0,357.0,396.0,270.0,258.0
476,남,35,19.0,21.0,"1,810","1,540",854.0,80.1,378.0,446.0,"1,009",995,850,900,904,967,"1,580",414.0,396.0,350.0,620.0,521.0,"1,103",588.0,568.0,531.0,397.0,392.0,316.0,293.0
480,남,43,26.0,20.0,"1,740","1,486",787.0,73.2,370.0,461.0,980,924,890,895,898,980,"1,501",460.0,420.0,360.0,620.0,503.0,"1,060",598.0,567.0,535.0,400.0,387.0,306.0,293.0
481,남,36,22.0,24.0,"1,787","1,533",807.0,78.2,400.0,475.0,"1,015",975,880,897,908,990,"1,566",502.0,468.0,360.0,630.0,522.0,"1,108",576.0,573.0,534.0,386.0,391.0,329.0,285.0
493,남,40,28.0,20.0,"1,700","1,457",784.0,66.1,363.0,428.0,955,924,818,836,838,940,"1,488",454.0,423.0,342.0,593.0,483.0,"1,018",579.0,541.0,498.0,354.0,345.0,316.0,266.0
494,남,43,18.0,18.0,"1,676","1,431",750.0,71.6,355.0,456.0,970,937,860,845,848,903,"1,456",417.0,385.0,330.0,576.0,461.0,"1,021",567.0,558.0,551.0,368.0,408.0,328.0,286.0
495,남,35,21.0,16.0,"1,708","1,465",791.0,60.7,360.0,424.0,912,856,727,758,775,900,"1,483",435.0,410.0,340.0,601.0,493.0,"1,045",565.0,510.0,483.0,358.0,346.0,287.0,274.0
496,남,22,20.0,20.0,"1,716","1,472",796.0,73.9,373.0,415.0,980,978,863,900,929,995,"1,500",453.0,412.0,340.0,606.0,492.0,"1,063",590.0,605.0,565.0,386.0,393.0,292.0,276.0
498,남,36,21.0,16.0,"1,655","1,408",755.0,72.2,403.0,445.0,978,969,945,930,960,936,"1,434",417.0,397.0,337.0,580.0,467.0,"1,031",593.0,559.0,521.0,360.0,374.0,299.0,264.0
500,남,34,16.0,10.0,"1,728","1,463",781.0,83.7,414.0,453.0,"1,044","1,033",950,970,970,"1,010","1,489",464.0,425.0,335.0,575.0,441.0,"1,035",582.0,620.0,558.0,393.0,391.0,318.0,283.0
502,남,49,15.0,14.0,"1,713","1,463",775.0,79.4,400.0,453.0,"1,020","1,005",940,945,950,986,"1,484",438.0,405.0,340.0,600.0,486.0,"1,030",575.0,564.0,518.0,408.0,387.0,303.0,300.0
503,남,22,25.0,21.0,"1,704","1,449",776.0,69.4,370.0,413.0,947,898,820,843,845,970,"1,472",435.0,414.0,340.0,575.0,443.0,"1,028",598.0,577.0,547.0,375.0,367.0,288.0,266.0
504,남,45,23.0,13.0,"1,637","1,395",732.0,73.0,400.0,455.0,"1,030",974,915,920,925,930,"1,414",433.0,420.0,330.0,567.0,452.0,974,572.0,572.0,519.0,354.0,371.0,332.0,305.0
522,남,47,25.0,20.0,"1,734","1,491",796.0,74.6,400.0,460.0,"1,010","1,000",895,905,905,926,"1,514",435.0,409.0,365.0,617.0,492.0,"1,064",581.0,533.0,494.0,373.0,381.0,296.0,282.0
524,남,25,24.0,20.0,"1,786","1,511",816.0,75.6,382.0,450.0,977,920,782,800,806,956,"1,536",445.0,427.0,351.0,625.0,498.0,"1,058",563.0,573.0,566.0,397.0,384.0,318.0,305.0
525,남,45,15.0,16.0,"1,712","1,460",782.0,76.8,415.0,460.0,"1,030","1,010",865,880,883,970,"1,488",408.0,398.0,341.0,590.0,460.0,"1,014",593.0,588.0,539.0,387.0,395.0,341.0,282.0
526,남,46,16.0,14.0,"1,680","1,416",787.0,64.5,376.0,435.0,940,900,755,765,784,925,"1,422",383.0,360.0,345.0,590.0,500.0,"1,019",585.0,535.0,493.0,358.0,366.0,286.0,265.0
527,남,26,19.0,20.0,"1,698","1,443",788.0,76.7,385.0,455.0,"1,030","1,010",885,893,903,975,"1,469",429.0,422.0,350.0,622.0,510.0,"1,036",580.0,586.0,541.0,388.0,418.0,332.0,307.0
528,남,26,23.0,15.0,"1,641","1,399",759.0,64.9,364.0,418.0,963,916,805,810,817,915,"1,424",423.0,410.0,334.0,585.0,496.0,994,552.0,555.0,523.0,364.0,382.0,317.0,292.0
529,남,43,16.0,17.0,"1,620","1,372",755.0,60.8,360.0,420.0,960,895,760,775,785,905,"1,390",419.0,393.0,322.0,563.0,454.0,975,556.0,534.0,509.0,347.0,375.0,305.0,268.0
758,남,44,24.0,21.0,"1,745","1,494",773.0,104.9,454.0,466.0,"1,128","1,140","1,053","1,061","1,054","1,113","1,535",450.0,428.0,344.0,605.0,476.0,"1,065",595.0,690.0,640.0,411.0,475.0,373.0,330.0
761,남,23,18.0,15.0,"1,860","1,590",835.0,88.0,380.0,433.0,"1,040",988,843,875,888,"1,050","1,613",450.0,440.0,365.0,630.0,530.0,"1,135",590.0,640.0,602.0,410.0,409.0,319.0,290.0
762,남,23,13.0,19.0,"1,803","1,534",871.0,56.5,345.0,403.0,872,799,669,700,703,866,"1,560",427.0,410.0,365.0,631.0,520.0,"1,120",582.0,500.0,475.0,312.0,349.0,262.0,260.0
763,남,23,12.0,14.0,"1,730","1,472",780.0,77.3,367.0,440.0,"1,007",962,875,902,908,999,"1,489",431.0,418.0,360.0,615.0,487.0,"1,050",595.0,615.0,563.0,385.0,379.0,340.0,275.0
764,남,20,31.0,27.0,"1,606","1,363",695.0,75.2,382.0,425.0,947,969,934,946,951,"1,051","1,406",435.0,410.0,311.0,550.0,455.0,973,550.0,647.0,602.0,391.0,400.0,308.0,268.0
765,남,45,24.0,21.0,"1,646","1,387",743.0,57.3,357.0,405.0,897,860,810,821,824,881,"1,420",415.0,395.0,333.0,563.0,468.0,975,555.0,498.0,450.0,343.0,355.0,270.0,256.0
776,남,44,18.0,18.0,"1,627","1,400",704.0,91.3,430.0,481.0,"1,088","1,134","1,058","1,070","1,058","1,076","1,436",430.0,400.0,335.0,565.0,425.0,979,575.0,630.0,571.0,413.0,420.0,368.0,300.0
781,남,34,18.0,20.0,"1,675","1,438",753.0,76.7,400.0,446.0,"1,060","1,016",906,915,913,970,"1,465",419.0,400.0,335.0,560.0,475.0,995,575.0,584.0,543.0,382.0,408.0,313.0,268.0
782,남,36,15.0,20.0,"1,700","1,446",756.0,71.7,395.0,451.0,"1,026",982,836,860,866,952,"1,470",439.0,418.0,348.0,585.0,477.0,"1,009",580.0,569.0,496.0,372.0,380.0,308.0,256.0
785,남,49,14.0,17.0,"1,691","1,443",755.0,92.2,407.0,453.0,"1,070","1,080","1,068","1,072","1,100","1,047","1,466",436.0,425.0,340.0,591.0,480.0,"1,040",565.0,645.0,572.0,405.0,437.0,361.0,296.0
791,남,46,20.0,25.0,"1,715","1,453",781.0,71.7,400.0,452.0,"1,016","1,007",876,865,866,925,"1,484",414.0,404.0,340.0,594.0,472.0,"1,037",570.0,547.0,492.0,373.0,370.0,332.0,271.0
792,남,22,20.0,13.0,"1,698","1,455",766.0,56.1,362.0,403.0,845,790,694,722,720,866,"1,475",441.0,415.0,322.0,565.0,475.0,"1,015",579.0,510.0,489.0,355.0,348.0,271.0,241.0
793,남,22,24.0,19.0,"1,696","1,431",746.0,63.4,375.0,436.0,911,871,727,750,762,930,"1,443",423.0,408.0,317.0,562.0,474.0,994,583.0,540.0,513.0,360.0,371.0,295.0,266.0
794,남,20,22.0,15.0,"1,821","1,554",837.0,88.8,382.0,448.0,"1,065","1,040",912,976,998,"1,065","1,588",473.0,445.0,370.0,645.0,536.0,"1,134",583.0,657.0,585.0,419.0,413.0,327.0,290.0
796,남,35,19.0,23.0,"1,714","1,464",765.0,67.5,368.0,435.0,993,940,777,775,780,943,"1,488",448.0,426.0,327.0,581.0,468.0,"1,016",557.0,576.0,557.0,348.0,376.0,318.0,274.0
798,남,25,17.0,20.0,"1,723","1,487",794.0,74.3,366.0,422.0,992,946,828,840,843,"1,020","1,510",444.0,416.0,348.0,605.0,480.0,"1,040",577.0,598.0,557.0,385.0,384.0,298.0,269.0
799,남,22,22.0,18.0,"1,706","1,445",790.0,51.2,335.0,372.0,862,834,643,658,660,837,"1,465",425.0,396.0,323.0,562.0,478.0,"1,020",552.0,485.0,454.0,344.0,332.0,258.0,240.0
800,남,21,14.0,10.0,"1,780","1,523",835.0,67.6,353.0,401.0,913,860,775,813,825,955,"1,533",432.0,415.0,350.0,621.0,518.0,"1,088",576.0,541.0,495.0,375.0,382.0,273.0,277.0
804,남,23,19.0,18.0,"1,765","1,510",799.0,88.1,400.0,457.0,"1,050","1,030",932,978,988,"1,080","1,538",465.0,438.0,355.0,616.0,499.0,"1,084",577.0,650.0,614.0,402.0,427.0,312.0,272.0
805,남,23,24.0,21.0,"1,755","1,503",797.0,73.8,383.0,435.0,"1,020",960,860,880,883,988,"1,524",481.0,454.0,350.0,598.0,483.0,"1,049",568.0,578.0,513.0,376.0,383.0,299.0,274.0
806,남,36,21.0,15.0,"1,727","1,474",804.0,63.1,350.0,414.0,880,864,834,831,833,935,"1,498",403.0,375.0,340.0,595.0,485.0,"1,046",550.0,562.0,503.0,364.0,362.0,267.0,238.0
807,남,32,19.0,16.0,"1,749","1,504",775.0,91.0,387.0,425.0,"1,070","1,073",975,995,998,"1,105","1,540",450.0,443.0,335.0,586.0,471.0,"1,070",560.0,640.0,597.0,399.0,415.0,327.0,271.0
808,남,22,22.0,20.0,"1,744","1,490",820.0,65.3,380.0,443.0,912,875,752,802,810,935,"1,524",450.0,442.0,350.0,601.0,492.0,"1,093",564.0,535.0,489.0,377.0,368.0,255.0,252.0
809,남,22,20.0,15.0,"1,725","1,465",778.0,80.9,400.0,455.0,"1,063","1,011",871,895,896,"1,016","1,490",466.0,444.0,340.0,600.0,494.0,"1,038",581.0,603.0,560.0,399.0,411.0,316.0,292.0
810,남,21,20.0,22.0,"1,835","1,564",846.0,74.6,380.0,430.0,990,945,780,793,801,966,"1,588",444.0,420.0,350.0,626.0,538.0,"1,100",540.0,562.0,513.0,374.0,365.0,327.0,286.0
811,남,33,15.0,11.0,"1,728","1,480",821.0,63.8,365.0,423.0,950,872,756,786,800,913,"1,498",430.0,408.0,345.0,596.0,506.0,"1,076",578.0,517.0,469.0,368.0,369.0,270.0,278.0
812,남,23,20.0,24.0,"1,715","1,461",804.0,61.0,374.0,432.0,876,830,765,768,769,930,"1,480",443.0,425.0,347.0,605.0,495.0,"1,038",578.0,539.0,491.0,366.0,350.0,270.0,266.0
813,남,22,22.0,23.0,"1,679","1,425",769.0,56.8,364.0,425.0,864,807,690,725,730,895,"1,450",435.0,427.0,325.0,561.0,470.0,"1,016",565.0,502.0,460.0,343.0,347.0,268.0,250.0
817,남,22,23.0,23.0,"1,805","1,541",841.0,69.7,350.0,410.0,997,917,742,770,780,960,"1,564",454.0,436.0,335.0,602.0,508.0,"1,104",555.0,556.0,515.0,378.0,357.0,337.0,284.0
818,남,24,20.0,15.0,"1,664","1,431",776.0,66.8,365.0,405.0,950,914,836,846,846,955,"1,458",436.0,415.0,347.0,602.0,496.0,"1,010",563.0,582.0,521.0,362.0,381.0,291.0,273.0
820,남,35,18.0,16.0,"1,710","1,454",806.0,75.9,382.0,443.0,"1,038","1,002",875,895,892,990,"1,470",462.0,445.0,345.0,602.0,510.0,"1,046",562.0,604.0,549.0,379.0,401.0,330.0,266.0
821,남,41,14.0,18.0,"1,698","1,445",782.0,70.9,370.0,415.0,975,920,810,843,845,953,"1,466",426.0,405.0,350.0,595.0,483.0,"1,015",562.0,580.0,517.0,350.0,402.0,303.0,261.0
822,남,35,20.0,16.0,"1,803","1,526",824.0,78.1,388.0,446.0,995,933,788,813,826,975,"1,554",438.0,416.0,350.0,611.0,505.0,"1,084",568.0,574.0,545.0,390.0,407.0,348.0,297.0
824,남,41,18.0,20.0,"1,777","1,520",815.0,80.1,385.0,443.0,"1,027",980,860,886,889,985,"1,550",446.0,441.0,355.0,634.0,520.0,"1,090",572.0,585.0,542.0,390.0,377.0,308.0,272.0
825,남,41,15.0,15.0,"1,751","1,499",807.0,72.5,370.0,413.0,960,940,870,885,887,970,"1,528",445.0,427.0,342.0,606.0,500.0,"1,074",558.0,547.0,498.0,373.0,374.0,271.0,265.0
826,남,20,13.0,14.0,"1,809","1,550",863.0,71.9,365.0,440.0,946,930,862,903,910,945,"1,573",460.0,416.0,385.0,671.0,551.0,"1,109",585.0,566.0,488.0,364.0,351.0,272.0,251.0
828,남,47,27.0,23.0,"1,681","1,431",766.0,72.7,380.0,440.0,"1,074","1,017",856,870,877,940,"1,459",475.0,434.0,328.0,582.0,470.0,"1,015",545.0,556.0,520.0,359.0,371.0,335.0,261.0
835,남,37,25.0,18.0,"1,718","1,477",821.0,78.8,394.0,444.0,984,960,960,955,956,986,"1,500",438.0,421.0,337.0,590.0,487.0,"1,050",573.0,592.0,523.0,384.0,408.0,315.0,285.0
836,남,23,23.0,25.0,"1,690","1,438",803.0,83.0,414.0,460.0,"1,031","1,036",910,920,915,"1,060","1,476",456.0,430.0,340.0,632.0,519.0,"1,035",600.0,643.0,575.0,369.0,386.0,319.0,297.0
839,남,43,23.0,20.0,"1,776","1,519",806.0,75.2,387.0,439.0,975,950,884,898,904,"1,005","1,538",457.0,434.0,343.0,592.0,493.0,"1,067",550.0,573.0,514.0,388.0,372.0,322.0,268.0
841,남,23,20.0,18.0,"1,785","1,535",833.0,79.3,370.0,436.0,"1,030","1,005",830,859,870,"1,041","1,544",453.0,435.0,350.0,617.0,518.0,"1,092",574.0,623.0,580.0,394.0,409.0,302.0,278.0
842,남,33,18.0,12.0,"1,819","1,564",839.0,72.3,380.0,422.0,956,888,816,842,847,951,"1,580",415.0,410.0,355.0,616.0,528.0,"1,097",572.0,560.0,508.0,369.0,403.0,282.0,280.0
844,남,22,23.0,19.0,"1,733","1,481",795.0,63.6,358.0,419.0,924,866,726,742,746,936,"1,500",444.0,423.0,345.0,600.0,488.0,"1,030",562.0,552.0,526.0,357.0,383.0,281.0,275.0
845,남,22,20.0,18.0,"1,780","1,520",809.0,61.0,342.0,397.0,900,849,733,751,760,914,"1,535",430.0,415.0,350.0,610.0,505.0,"1,051",573.0,532.0,476.0,353.0,341.0,278.0,260.0
848,남,47,20.0,14.0,"1,850","1,586",867.0,83.9,417.0,460.0,"1,014",998,956,964,965,980,"1,619",460.0,435.0,366.0,647.0,536.0,"1,124",602.0,580.0,526.0,403.0,399.0,304.0,307.0
849,남,43,20.0,16.0,"1,680","1,419",758.0,68.7,375.0,425.0,995,970,850,850,830,910,"1,448",453.0,428.0,336.0,585.0,475.0,"1,004",575.0,539.0,487.0,341.0,355.0,317.0,260.0
850,남,24,17.0,21.0,"1,577","1,350",685.0,74.8,425.0,479.0,"1,040",995,900,906,890,990,"1,365",464.0,465.0,300.0,536.0,412.0,953,582.0,620.0,562.0,375.0,408.0,315.0,269.0
851,남,22,18.0,18.0,"1,739","1,480",785.0,72.6,384.0,445.0,"1,000",976,865,865,860,955,"1,507",460.0,445.0,370.0,635.0,514.0,"1,065",565.0,565.0,523.0,367.0,381.0,316.0,308.0
852,남,23,19.0,17.0,"1,823","1,549",867.0,58.5,350.0,407.0,895,810,673,680,698,901,"1,568",433.0,412.0,355.0,616.0,525.0,"1,106",565.0,488.0,455.0,349.0,348.0,266.0,263.0
853,남,38,16.0,15.0,"1,625","1,403",766.0,64.9,390.0,432.0,945,906,835,842,855,965,"1,423",391.0,368.0,325.0,577.0,466.0,994,565.0,564.0,503.0,339.0,391.0,290.0,268.0
